review_id,user_id,product_id,rating,comment
1,569,49,2,Culpa incidunt odio adipisci praesentium eaque.
2,7,795,2,Perspiciatis aspernatur praesentium iste.
3,318,878,1,Animi hic laudantium minima suscipit voluptatum.
4,411,254,3,Quod provident deserunt eligendi facilis repudiandae odit quod.
5,77,38,1,Blanditiis animi facilis assumenda.
6,129,80,5,Accusantium rerum dicta velit laboriosam repellat.
7,116,578,3,Perspiciatis nam ducimus harum rem.
8,529,572,1,Aliquam omnis aut.
9,747,481,4,Quasi sint vero facere deleniti autem.
10,186,194,1,Tempore deleniti temporibus quae.
11,220,3,3,Delectus deserunt nostrum in necessitatibus eligendi ut.
12,655,888,1,Debitis asperiores aliquam adipisci nostrum alias.
13,504,208,4,Officiis quibusdam accusantium esse error sequi.
14,281,258,2,Aut voluptatem quaerat quam consequatur.
15,538,407,4,Amet quibusdam asperiores minus aspernatur accusantium tempora.
16,149,644,2,Ex odit cumque iste.
17,719,468,1,Dolorem odit sunt.
18,608,993,2,Praesentium vel vitae nisi.
19,466,781,5,Suscipit aliquam perferendis praesentium sit.
20,630,314,1,Rerum adipisci repellendus non.
21,599,289,1,Ea dolorum nisi nam in.
22,91,342,2,Iste explicabo in itaque in iste accusantium.
23,558,584,1,Excepturi possimus dolor quam illo.
24,554,549,2,Labore perferendis praesentium neque itaque recusandae.
25,150,748,3,Non incidunt alias iure.
26,969,140,1,Perspiciatis eius veritatis repellat impedit corporis.
27,409,617,4,Quam deleniti nobis nulla tempore ad.
28,583,880,2,Vero voluptate natus architecto aliquid.
29,724,9,2,Quos ullam quisquam optio officiis mollitia.
30,182,731,3,Nisi rerum cupiditate.
31,462,678,2,Molestias quia deleniti soluta ex placeat.
32,204,22,1,Quaerat nobis tempore ducimus.
33,45,941,5,Eligendi fuga ratione officiis quam fugiat dolores ab.
34,687,932,3,Blanditiis assumenda minus vitae officia culpa iusto.
35,953,125,5,Vitae exercitationem vel quia.
36,591,347,2,Iure dolorum illo maxime officiis impedit illum magni.
37,718,174,5,Ea natus sunt.
38,425,828,1,Earum est laboriosam.
39,191,734,5,Modi nulla consequatur.
40,569,168,2,Cupiditate vitae officia occaecati voluptates corrupti sint.
41,166,900,4,Voluptatum quos ipsum assumenda excepturi odit iure ratione.
42,102,657,1,Recusandae aliquid nisi.
43,683,210,5,Dolorem consequatur minima reprehenderit.
44,123,745,5,Iste quo consequuntur numquam cum.
45,879,703,2,Corrupti alias soluta.
46,502,737,4,Corrupti debitis perspiciatis debitis eum illo.
47,635,178,2,Ad sint dolorum corporis inventore officiis.
48,695,824,5,Eos molestias esse porro quam labore voluptatibus.
49,738,431,4,Inventore occaecati labore veritatis necessitatibus voluptate in.
50,231,63,5,Delectus occaecati sit deleniti.
51,415,928,2,Velit eum eligendi.
52,416,507,5,Ratione in temporibus est.
53,675,457,5,Quibusdam consequatur voluptatum nesciunt voluptates.
54,447,618,1,Modi amet aspernatur quo.
55,899,739,4,Ipsam a quaerat facere fugit soluta.
56,131,992,2,Quisquam saepe harum.
57,423,58,3,Dolores dignissimos necessitatibus blanditiis provident sunt.
58,810,586,2,Commodi odio pariatur eligendi sint.
59,838,893,3,Tempora voluptatem nobis ex officia distinctio.
60,109,780,5,Eaque voluptatem suscipit quisquam.
61,579,667,1,Tempora rem itaque eius quae distinctio quos dolorum.
62,200,614,3,Doloremque sint repellat molestiae corrupti veritatis dolore neque.
63,99,9,3,Libero ad omnis quam similique.
64,897,223,1,Fugit exercitationem consequuntur nemo architecto eligendi vitae.
65,746,427,4,Neque pariatur possimus quaerat.
66,172,734,3,Nobis eligendi tenetur.
67,735,955,4,Animi voluptatum eos iusto quos ad tenetur.
68,441,149,1,Enim delectus dolor aliquam optio veritatis animi.
69,317,95,4,Totam atque esse a.
70,359,374,2,Ad optio amet iure cupiditate aut repudiandae.
71,604,744,5,Distinctio accusantium sunt nostrum.
72,41,886,2,Ad beatae illum ab ipsam.
73,525,295,1,Quam dignissimos numquam reiciendis.
74,980,679,5,Nam voluptatem nemo eligendi provident sapiente voluptates.
75,962,286,2,Porro labore neque sunt non reprehenderit.
76,706,666,4,Doloremque perferendis vitae.
77,380,760,1,Laborum commodi ullam eos.
78,557,346,3,Quasi sapiente sint possimus quas eum.
79,951,254,5,Quis voluptas nobis odit ea.
80,248,742,1,Veritatis ab aut ut enim nesciunt inventore repellat.
81,83,495,1,Molestias rem veritatis ipsam ipsum nam facere.
82,626,865,5,Maxime doloremque molestias dolor atque ex.
83,854,98,1,Mollitia exercitationem modi voluptas.
84,819,351,5,Quidem sint voluptas eius odio itaque incidunt accusamus.
85,875,694,1,Dicta expedita nemo.
86,591,23,4,Ipsum accusamus consectetur autem.
87,391,261,3,Facere architecto suscipit aperiam.
88,87,571,2,Repudiandae laborum natus tempora.
89,742,224,5,Assumenda illo ut.
90,476,571,2,Mollitia tenetur fuga fugit.
91,546,682,5,Quo neque mollitia voluptas id quo impedit.
92,3,852,4,Amet provident voluptates unde.
93,169,661,1,Debitis iure fugiat quos.
94,828,916,2,Dolores modi voluptatibus quidem.
95,373,554,1,Aperiam reiciendis nihil maiores.
96,933,520,1,Voluptatem error quam eligendi itaque rerum eligendi.
97,132,777,5,Aperiam cum libero.
98,844,976,2,Autem aliquam a repellat quia temporibus.
99,56,890,4,Neque nihil quas odio sed.
100,889,67,3,Unde sed ut ad nobis.
101,945,16,3,Possimus sequi cum quasi adipisci atque sed.
102,2,434,2,Minus blanditiis ipsum dolor.
103,487,11,1,Aliquam explicabo nobis commodi quidem.
104,229,634,1,Aperiam illum commodi earum nihil amet eligendi.
105,630,174,3,Esse culpa accusamus impedit repudiandae praesentium dolore.
106,524,324,5,Provident cum minima eum quo illo.
107,708,558,4,Reiciendis delectus quaerat quisquam nam doloribus impedit.
108,387,348,2,Eaque consectetur nam earum porro nesciunt eius possimus.
109,984,376,3,Magnam labore cumque praesentium qui eos dolorem autem.
110,349,672,3,Veritatis beatae amet nisi.
111,542,600,3,Enim ex natus odio autem laborum.
112,929,190,4,Ad exercitationem reiciendis ex exercitationem illo autem.
113,817,96,1,Qui dolore exercitationem sequi cumque necessitatibus.
114,865,972,1,Neque ad minima accusamus eos laudantium est veniam.
115,248,466,5,Modi labore tenetur quasi accusantium nemo aliquam incidunt.
116,846,450,2,Quis ducimus blanditiis.
117,345,395,1,Atque qui repellat dolore repellendus consectetur illum.
118,17,394,1,Aspernatur placeat natus at reprehenderit.
119,808,535,4,Repellendus molestiae corrupti.
120,936,209,3,Vitae debitis explicabo neque natus expedita consequatur.
121,860,822,3,Animi doloremque dolorum veniam quam numquam.
122,935,781,2,Suscipit fugiat veniam deleniti.
123,600,289,5,Itaque cumque quaerat provident non neque ratione ad.
